"occurrenceID","InstitutionCode","CollectionCode","catalogNumber","class","ScientificName","Year","Month","Day","verbatimEventDate","eventDate","recordedBy","recordNumber","FieldNotes","Country","StateProvince","County","Island","IslandGroup","Locality","MinimumElevationInMeters","MaximumElevationInMeters","VerbatimElevation","DecimalLatitude","DecimalLongitude","GeodeticDatum","CoordinateUncertaintyInMeters","VerbatimCoordinateSystem","GeoreferenceProtocol","GeoreferenceRemarks","GeoreferenceSources","GeoreferencedDate","GeoreferencedBy","GeoreferenceVerificationStatus","VerbatimLatitude","VerbatimLongitude","Genus","specificEpithet","infraspecificEpithet"
"CRCM:Birds:56-24","CRCM","Birds","56-24","Aves","Pipilo crissalis",1952,3,17,"17-Mar-1952","1952-03-17","Taylor, L. C.; preparator: Johnston, R. F.",,,"United States","California","Alameda",,,"Berkeley, Alameda Co., California",,,,"37.8662848","-122.2689617","WGS84","5548.0","decimal degrees","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",,"BioGeomancer","2009-11-16","Christine Coltellaro (UWBM)","requires verification",,,"Pipilo","crissalis",
"CRCM:Birds:75-730","CRCM","Birds","75-730","Aves","Pipilo crissalis",1946,11,3,"3-Nov-1946","1946-11-03","Miller, Alden H.; preparator: Miller, Alden H.",,,"United States","California","Alameda",,,"Berkeley, elev. 600 ft, Alameda Co., California",,,,"37.8662848","-122.2689617","WGS84","5548.0","decimal degrees","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",,"BioGeomancer","2009-11-16","Christine Coltellaro (UWBM)","requires verification",,,"Pipilo","crissalis",
"CRCM:Birds:75-784","CRCM","Birds","75-784","Aves","Zonotrichia atricapilla",1947,11,1,"1-Nov-1947","1947-11-01","Miller, A. H.; preparator: Hudson, Geo. E.",,,"United States","California","Alameda",,,"Berkeley, Alameda Co., California",,,,"37.8662848","-122.2689617","WGS84","5548.0","decimal degrees","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",,"BioGeomancer","2009-11-16","Christine Coltellaro (UWBM)","requires verification",,,"Zonotrichia","atricapilla",
"CRCM:Birds:75-785","CRCM","Birds","75-785","Aves","Zonotrichia atricapilla",1940,6,9,"9-Jun-1940","1940-06-09","Marshall Jr., J. T.; preparator: Marshall, Jr., J. T.",,,"United States","California","Alameda",,,"Berkeley, California",,,,"37.8662848","-122.2689617","WGS84","5548.0","decimal degrees","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",,"BioGeomancer","2009-11-16","Christine Coltellaro (UWBM)","requires verification",,,"Zonotrichia","atricapilla",
"CRCM:Birds:58-23","CRCM","Birds","58-23","Aves","Zonotrichia leucophrys nuttalli",1923,12,9,"9-Dec-1923","1923-12-09","Clabaugh, E. D.",,,"United States","California","Alameda",,,"Berkeley, Alameda Co., California",,,,"37.8662848","-122.2689617","WGS84","5548.0","decimal degrees","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",,"BioGeomancer","2009-11-16","Christine Coltellaro (UWBM)","requires verification",,,"Zonotrichia","leucophrys","nuttalli"
"CRCM:Birds:57-79","CRCM","Birds","57-79","Aves","Agelaius phoeniceus",1953,8,19,"19-Aug-1953","1953-08-19","LaFave, L. D.; preparator: LaFave, L. D.",,,"United States","California","Alameda",,,"San Francisco, Alameda, California",,,,"37.7690864","-122.2702789","WGS84","6323.0","decimal degrees","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices","georefed city of Alameda","Google Earth","2009-11-16","Kevin Epperly (UWBM)","requires verification",,,"Agelaius","phoeniceus",
"CRCM:Birds:75-627","CRCM","Birds","75-627","Aves","Agelaius tricolor",1935,3,3,"3-Mar-1935","1935-03-03","Miller, A. H.; preparator: Miller, A. H.",,,"United States","California","Alameda",,,"Pintail Gun Club, near Newark, Alameda Co., California",,,,"37.5229332","-122.0342445","WGS84","7400.0","decimal degrees","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices","could not find Pintail Gun Club, georefed near Newark","Google Earth","2009-11-16","Kevin Epperly (UWBM)","requires verification",,,"Agelaius","tricolor",
"CRCM:Birds:07-248","CRCM","Birds","07-248","Aves","Buteo jamaicensis",1904,4,19,"19-Apr-1904","1904-04-19","Unknown",,,"United States","California","Alameda",,,"Warm Springs, California",,,,"37.4833722","-121.9183731","WGS84","2993.0","decimal degrees","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",,"BioGeomancer","2009-11-16","Kevin Epperly (UWBM)","requires verification",,,"Buteo","jamaicensis",
"UWBM:Bird:10004","UWBM","Bird","10004","Aves","Aphelocoma californica",1903,6,12,"12 JUNE 1903","1903-06-12","D. A. Cohen",,"no data","USA","California","Alameda",,,"CALIFORNIA: Alameda County; Alameda","0","0",,"37.6803493","-121.9029351","WGS84","44037.0","decimal degrees","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",,"BioGeomancer","2009-11-16","Christine Coltellaro (UWBM)","requires verification",,,"Aphelocoma","californica",
"UWBM:Bird:10005","UWBM","Bird","10005","Aves","Aphelocoma californica",1903,6,12,"12 JUNE 1903","1903-06-12","D. A. Cohen",,"no data","USA","California","Alameda",,,"CALIFORNIA: Alameda County; Alameda","0","0",,"37.6803493","-121.9029351","WGS84","44037.0","decimal degrees","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",,"BioGeomancer","2009-11-16","Christine Coltellaro (UWBM)","requires verification",,,"Aphelocoma","californica",
