term,type
type,string
modified,string
language,string
rights,string
rightsHolder,string
accessRights,string
bibliographicCitation,string
institutionID,string
collectionID,string
datasetID,string
institutionCode,string
collectionCode,string
datasetName,string
ownerInstitutionCode,string
basisOfRecord,string
informationWithheld,string
dataGeneralizations,string
dynamicProperties,string
occurrenceID,string
catalogNumber,string
occurrenceDetails,string
occurrenceRemarks,string
recordNumber,string
recordedBy,string
individualID,string
individualCount,int
sex,string
lifeStage,string
reproductiveCondition,string
behavior,string
establishmentMeans,string
occurrenceStatus,string
preparations,string
disposition,string
otherCatalogNumbers,string
previousIdentifications,string
associatedMedia,string
associatedReferences,string
associatedOccurrences,string
associatedSequences,string
associatedTaxa,string
eventID,string
samplingProtocol,string
samplingEffort,string
eventDate,string
eventTime,string
startDayOfYear,int
endDayOfYear,int
year,int
month,int
day,int
verbatimEventDate,string
habitat,string
fieldNumber,string
fieldNotes,string
eventRemarks,string
locationID,string
higherGeographyID,string
higherGeography,string
continent,string
waterBody,string
islandGroup,string
island,string
country,string
countryCode,string
stateProvince,string
county,string
municipality,string
locality,string
verbatimLocality,string
verbatimElevation,string
minimumElevationInMeters,int
maximumElevationInMeters,int
verbatimDepth,string
minimumDepthInMeters,int
maximumDepthInMeters,int
minimumDistanceAboveSurfaceInMeters,int
maximumDistanceAboveSurfaceInMeters,int
locationAccordingTo,string
locationRemarks,string
verbatimCoordinates,string
verbatimLatitude,string
verbatimLongitude,string
verbatimCoordinateSystem,string
verbatimSRS,string
decimalLatitude,float
decimalLongitude,float
geodeticDatum,string
coordinateUncertaintyInMeters,int
coordinatePrecision,string
pointRadiusSpatialFit,string
footprintWKT,string
footprintSRS,string
footprintSpatialFit,float
georeferencedBy,string
georeferenceProtocol,string
georeferenceSources,string
georeferenceVerificationStatus,string
georeferenceRemarks,string
geologicalContextID,string
EarliestEonOrLowestEonothem,string
LatestEonOrHighestEonothem,string
EarliestEraOrLowestErathem,string
LatestEraOrHighestErathem,string
EarliestPeriodOrLowestSystem,string
LatestPeriodOrHighestSystem,string
EarliestEpochOrLowestSeries,string
LatestEpochOrHighestSeries,string
EarliestAgeOrLowestStage,string
LatestAgeOrHighestStage,string
LowestBiostratigraphicZone,string
HighestBiostratigraphicZone,string
LithostratigraphicTerms,string
Group,string
Formation,string
Member,string
Bed,string
identificationID,string
identifiedBy,string
dateIdentified,string
identificationReferences,string
identificationRemarks,string
identificationQualifier,string
typeStatus,string
taxonID,string
scientificNameID,string
acceptedNameUsageID,string
parentNameUsageID,string
originalNameUsageID,string
nameAccordingToID,string
namePublishedInID,string
taxonConceptID,string
scientificName,string
acceptedNameUsage,string
parentNameUsage,string
originalNameUsage,string
nameAccordingTo,string
namePublishedIn,string
higherClassification,string
kingdom,string
phylum,string
class,string
order,string
family,string
genus,string
subgenus,string
specificEpithet,string
infraspecificEpithet,string
taxonRank,string
verbatimTaxonRank,string
scientificNameAuthorship,string
vernacularName,string
nomenclaturalCode,string
taxonomicStatus,string
nomenclaturalStatus,string
taxonRemarks,string
